22.05.2024 9:44:19.717 CAN1 ID=0x10C145FC, D(8)=0xCF-80-00-02-00-02-00-02
22.05.2024 9:44:19.717 CAN1 ID=0x10C146FC, D(8)=0x00-02-00-02-00-02-00-02
22.05.2024 9:44:19.717 CAN1 ID=0x10C147FC, D(8)=0x00-02-00-02-00-02-00-02
22.05.2024 9:44:19.717 CAN1 ID=0x10C148FC, D(8)=0x00-02-00-02-00-02-00-02
22.05.2024 9:44:19.717 CAN1 ID=0x10C149FC, D(8)=0x00-3E-00-03-00-00-03-00
22.05.2024 9:44:19.717 CAN1 ID=0x10C14AFC, D(8)=0x00-03-00-00-03-00-00-03
22.05.2024 9:44:19.717 CAN1 ID=0x10C14BFC, D(8)=0x00-00-03-00-00-03-00-00
22.05.2024 9:44:19.748 CAN1 ID=0x10C14CFC, D(8)=0x03-00-00-03-00-00-03-03
22.05.2024 9:44:19.748 CAN1 ID=0x10C14DFC, D(8)=0xA4-03-00-00-03-00-00-03
22.05.2024 9:44:19.748 CAN1 ID=0x10C14EFC, D(8)=0x00-00-03-00-00-03-00-00
22.05.2024 9:44:19.748 CAN1 ID=0x10C14FFC, D(8)=0x03-00-00-03-00-00-03-00
22.05.2024 9:44:19.748 CAN1 ID=0x10C140FC, D(8)=0x00-03-00-00-03-00-00-03
22.05.2024 9:44:19.748 CAN1 ID=0x10C141FC, D(8)=0x00-00-03-00-00-03-00-00
22.05.2024 9:44:19.748 CAN1 ID=0x10C142FC, D(8)=0x03-00-00-03-00-00-03-00
22.05.2024 9:44:19.748 CAN1 ID=0x10C143FC, D(8)=0x00-03-01-A5-03-04-A3-03
22.05.2024 9:44:19.748 CAN1 ID=0x10C144FC, D(8)=0x00-00-03-00-00-03-00-A4
22.05.2024 9:44:19.748 CAN1 ID=0x10C145FC, D(8)=0x03-00-00-55-80-00-8A-CB
22.05.2024 9:44:19.748 CAN1 ID=0x10C186FC, D(8)=0x00-76-39-A5-17-0B-09-04
22.05.2024 9:44:20.622 CAN1 ID=0x118100FD, D(8)=0x00-3C-00-3C-0E-10-40-C0
22.05.2024 9:44:20.622 CAN1 ID=0x118141FD, D(8)=0xC0-C0-C0-C0-C0-C0-C0-E0
22.05.2024 9:44:20.622 CAN1 ID=0x118142FD, D(8)=0xE0-E0-E0-E0-E0-E0-E0-E0
22.05.2024 9:44:20.622 CAN1 ID=0x118143FD, D(8)=0xE0-E0-E0-E0-E0-E8-E0-E0
22.05.2024 9:44:20.622 CAN1 ID=0x118144FD, D(8)=0xE0-E0-E0-E0-E0-E0-E0-E0
22.05.2024 9:44:20.622 CAN1 ID=0x118185FD, D(8)=0xE0-E0-E0-E0-E0-55-55-55
22.05.2024 9:44:20.684 CAN1 ID=0x10C100FB, D(8)=0xC0-55-02-66-02-67-00-01
22.05.2024 9:44:20.684 CAN1 ID=0x10C141FB, D(8)=0x00-01-F0-55-07-FA-07-F9
22.05.2024 9:44:20.684 CAN1 ID=0x10C142FB, D(8)=0x08-00-08-00-00-FF-FF-FF
22.05.2024 9:44:20.684 CAN1 ID=0x10C143FB, D(8)=0xFF-55-00-00-00-00-00-00
22.05.2024 9:44:20.684 CAN1 ID=0x10C144FB, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:44:20.684 CAN1 ID=0x10C145FB, D(8)=0x00-1B-00-00-00-01-00-00
22.05.2024 9:44:20.684 CAN1 ID=0x10C146FB, D(8)=0x00-1C-00-00-00-00-40-C0
22.05.2024 9:44:20.747 CAN1 ID=0x10C147FB, D(8)=0x00-C0-00-C0-00-C0-00-C0
22.05.2024 9:44:20.747 CAN1 ID=0x10C148FB, D(8)=0x00-C0-00-C0-00-C0-00-C0
