22.05.2024 9:50:08.206 CAN1 ID=0x13C746FD, D(8)=0xA3-FF-D5-F2-15-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C747FD, D(8)=0x00-00-00-00-00-00-00-00
22.05.2024 9:50:08.206 CAN1 ID=0x13C748FD, D(8)=0xDA-0A-16-00-00-00-93-CC
22.05.2024 9:50:08.206 CAN1 ID=0x13C749FD, D(8)=0xF3-ED-46-19-AD-FF-EA-A8
22.05.2024 9:50:08.206 CAN1 ID=0x13C74AFD, D(8)=0x17-00-00-00-92-CC-F3-ED
22.05.2024 9:50:08.206 CAN1 ID=0x13C78BFD, D(8)=0x10-BC-AA-FF-EE-49-F3-73
22.05.2024 9:50:08.237 CAN2 ID=0x13C100FD, D(8)=0xFF-81-AB-0F-AA-00-F6-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C141FD, D(8)=0xB6-6C-06-7B-E8-44-00-31
22.05.2024 9:50:08.237 CAN2 ID=0x13C142FD, D(8)=0x00-10-74-12-34-EF-AC-91
22.05.2024 9:50:08.237 CAN2 ID=0x13C143FD, D(8)=0x42-00-22-BF-01-2A-00-0E
22.05.2024 9:50:08.237 CAN2 ID=0x13C144FD, D(8)=0xF0-8E-29-E7-58-56-49-01
22.05.2024 9:50:08.237 CAN2 ID=0x13C145FD, D(8)=0x2E-29-02-32-00-12-D4-CC
22.05.2024 9:50:08.237 CAN2 ID=0x13C146FD, D(8)=0xB0-11-AE-E7-FD-FF-88-E5
22.05.2024 9:50:08.237 CAN2 ID=0x13C147FD, D(8)=0x03-12-00-11-A4-BD-B0-11
22.05.2024 9:50:08.237 CAN2 ID=0x13C148FD, D(8)=0xEA-7D-42-00-36-7A-04-00
22.05.2024 9:50:08.237 CAN2 ID=0x13C149FD, D(8)=0x00-00-1C-C0-BA-E0-7A-D1
22.05.2024 9:50:08.237 CAN2 ID=0x13C14AFD, D(8)=0xAA-FF-03-75-05-00-00-00
